分类,问题,禅道对应问题／答复,来源
输入法,软键盘显示过大，尤其是谷歌输入法中文的软键盘,,梅花易数
电源界面,同方T43U睡眠唤不醒，需要强制关机重启,,阵阵小语
设置,WiFi里的代理设置，只要一设置，就秒退。,禅道ID：1333,苟腾嶕
设置,openthosOTA考虑改名为“系统更新”，建议把额外的链接放到设置-系统的下面,,刘锋
设置,绑定完openthosID之后界面不会立刻刷新，需要退到设置上级页面再重新进来才会刷新……,云服务器功能还……,刘锋
设置,绑定liufeng@thtfpc.com的openthosID之后，文件管理器中自动创建的data目录，同步到……,云服务FM端暂时……,刘锋
设置,更改壁纸部分的界面混乱，我们不打算支持动态壁纸（纯粹吃性能和电池的东西），可以移除……,,刘锋
设置,"“未知开源""现在默认是关闭的……",,阵阵小语
安装,安装困难,已记录：大家都……,社区
安装,建议安装界面做成live模式下图形界面安装,,社区
安装,做安装包方便在linux上安装openthos系统,,苟腾嶕
安装,在等待安装系统时可以写进一个3-5分钟的小游戏打发一下时间,,社区
wifi,不支持其它电脑的无线网卡,,社区
UI,应用商店的UI向Google paly store的靠拢,,刘锋
UI,对于分辨率大、屏幕小的设备，默认字体显的太小了，将字体调大一些会看的舒服些。,,苟腾嶕
UI,建议UI窗口不限制形状，app的UI呈现形式可以是圆或三角形,,阵阵小语
打印,不兼容爱普生L310打印机驱动,,阵阵小语
打印,目前图库等软件没有提供图片打印的选项，打印图片只能复制图片到word再打印,,阵阵小语
打印,打印机的配置操作太复杂，是否能简化，一般的电脑小白不会搞,,梅花易数
开机,linux启动的图显示方案 ,,
StartMenu,触摸屏点击应用无反应，选择框可以触摸,,为人民服务工作室
系统界面,输出的信号是1920x1080的，屏幕四周都是黑边……,,刘锋
应用商店,其实应用商店我也想锁定，第三方商店乱更新包会把系统搞死的……,,刘锋
应用商店,我感觉商店不要锁死，因为你是开源的……,,阵阵小语
其它,凤凰每次升级都会发布32位、64位两个版本，凤凰系统下载器会自动选择适合……,,阵阵小语
其它,cpu温度无法读取,,社区
其它,开始菜单和桌面触屏无法支持,,社区
其它,Android O 新功能，红色部分值得着重注意……,,刘锋
