分类,bug/feature,优先级,问题,禅道对应问题／答复,来源
输入法,feature,2,当用户输入错误时，应可以按esc清除当前输入，optional要求，可以使用左右键在已经输入……,,刘锋
输入法,feature,2,密码不要回显，现在会短暂回显当前输入字母，在桌面系统中不安全,,刘锋
输入法,feature,3,按shift进行中英文切换时，建议提供短暂的视觉反馈，比如在当前光标位置附近显示一下当前 ……,,刘锋
输入法,建议,3,软键盘显示过大，尤其是谷歌输入法中文的软键盘,,梅花易数
电源界面,bug,1,锁屏界面不会自动显示，启动后进入一个无法操作的桌面，直到用户将光标移动到屏幕下方才……,禅道ID：1209,刘锋
电源界面,feature,3,按ALT+f4不会出现关机界面,,社区
设置,feature,1,openthosOTA考虑改名为“系统更新”，建议把额外的链接放到设置-系统的下面,,刘锋
设置,feature,4,设置-系统账户-openthos ID部分的注册流程有问题，缺少提示，比如我先注册……,暂时写到用户手……,刘锋
设置,feature,4,绑定完openthosID之后界面不会立刻刷新，需要退到设置上级页面再重新进来才会刷新……,云服务器功能还……,刘锋
设置,feature,4,绑定liufeng@thtfpc.com的openthosID之后，文件管理器中自动创建的data目录，同步到……,云服务FM端暂时……,刘锋
设置,feature,1,更改壁纸部分的界面混乱，我们不打算支持动态壁纸（纯粹吃性能和电池的东西），可以移除……,,刘锋
安装,feature,3,安装困难,已记录：大家都……,社区
安装,建议,4,建议安装界面做成live模式下图形界面安装,,社区
wifi,bug,1,在刘总笔记本上wifi隔段时间不红就会失去连接，显示“未检测不到任何互联网连接，因此不会……,禅道ID：444,刘锋／社区
wifi,feature,1,不支持其它电脑的无线网卡,,社区
UI,feature,2,应用商店的UI向Google paly store的靠拢,,刘锋
UI,建议,3,对于分辨率大、屏幕小的设备，默认字体显的太小了，将字体调大一些会看的舒服些。,,苟腾嶕
打印,bug,3,无法选择打印机驱动，一选就退出,,阵阵小语
打印,feature,3,不兼容爱普生L310打印机驱动,,阵阵小语
打印,建议,3,目前图库等软件没有提供图片打印的选项，打印图片只能复制图片到word再打印,,阵阵小语
打印,建议,4,打印机的配置操作太复杂，是否能简化，一般的电脑小白不会搞,,梅花易数
开机,feature,,linux启动的图显示方案 ,,
,feature,4,Android O 新功能，红色部分值得着重注意……,,刘锋
,建议,,bugzilla记录跟踪反馈,,陈刚
StartMenu,feature,,触摸屏点击应用无反应，选择框可以触摸,,为人民服务工作室
系统界面,bug,,点击格式化SD卡，openthos系统重启,禅道ID：1223,梅花易数
